time,ShortWave,Cloud,AirTemp,RelHum,WindSpeed,Rain
2020-01-05 23:00:00,0.0,0.03,17.6,71,2.3,0.0
2020-01-06 00:00:00,0.0,0.0,16.7,76,2.14,0.0
2020-01-06 01:00:00,0.0,0.0,16.0,80,2.06,0.0
2020-01-06 02:00:00,0.0,0.0,15.3,84,2.02,0.0
2020-01-06 03:00:00,0.0,0.01,14.6,86,1.97,0.0
2020-01-06 04:00:00,0.0,0.01,14.1,89,1.92,0.0
2020-01-06 05:00:00,0.0,0.01,13.7,91,1.9,0.0
2020-01-06 06:00:00,38.0,0.6,14.2,90,2.22,0.0
2020-01-06 07:00:00,200.0,0.14,16.8,76,1.94,0.0
2020-01-06 08:00:00,435.0,0.01,19.7,57,2.19,0.0
2020-01-06 09:00:00,649.0,0.0,22.4,44,2.08,0.0
2020-01-06 10:00:00,837.0,0.02,24.9,36,2.15,0.0
2020-01-06 11:00:00,950.0,0.01,27.0,32,1.84,0.0
2020-01-06 12:00:00,1025.0,0.03,28.9,28,1.21,0.0
2020-01-06 13:00:00,1049.0,0.1,30.4,25,0.63,0.0
2020-01-06 14:00:00,996.0,0.24,31.4,23,0.81,0.0
2020-01-06 15:00:00,894.0,0.19,32.1,24,1.35,0.0
2020-01-06 16:00:00,755.0,0.05,32.1,24,2.46,0.0
2020-01-06 17:00:00,564.0,0.05,30.9,27,4.79,0.0
2020-01-06 18:00:00,346.0,0.04,27.3,38,6.7,0.0
2020-01-06 19:00:00,132.0,0.11,23.4,48,6.65,0.0
2020-01-06 20:00:00,8.0,0.05,21.1,55,5.37,0.0
2020-01-06 21:00:00,0.0,0.11,19.9,58,4.6,0.0
2020-01-06 22:00:00,0.0,0.16,19.0,61,4.0,0.0
2020-01-06 23:00:00,0.0,0.16,18.2,63,3.55,0.0
2020-01-07 00:00:00,0.0,0.03,17.4,65,3.26,0.0
2020-01-07 01:00:00,0.0,0.0,16.7,67,2.87,0.0
2020-01-07 02:00:00,0.0,0.0,16.1,69,2.5,0.0
2020-01-07 03:00:00,0.0,0.0,15.5,70,2.33,0.0
2020-01-07 04:00:00,0.0,0.01,14.9,74,2.5,0.0
2020-01-07 05:00:00,0.0,0.01,14.5,78,2.55,0.0
2020-01-07 06:00:00,34.0,0.01,14.9,78,2.97,0.0
2020-01-07 07:00:00,208.0,0.0,17.3,67,2.82,0.0
2020-01-07 08:00:00,426.0,0.01,20.3,53,3.35,0.0
2020-01-07 09:00:00,643.0,0.0,23.2,43,3.08,0.0
2020-01-07 10:00:00,837.0,0.0,25.8,37,2.22,0.0
2020-01-07 11:00:00,979.0,0.0,28.2,32,1.41,0.0
2020-01-07 12:00:00,1063.0,0.0,30.3,28,0.85,0.0
2020-01-07 13:00:00,1084.0,0.08,32.0,24,1.39,0.0
2020-01-07 14:00:00,1039.0,0.09,33.4,21,2.05,0.0
2020-01-07 15:00:00,920.0,0.1,33.6,20,2.51,0.0
2020-01-07 16:00:00,730.0,0.11,33.8,19,2.73,0.0
2020-01-07 17:00:00,536.0,0.11,32.8,21,3.13,0.0
2020-01-07 18:00:00,324.0,0.1,30.1,30,4.94,0.0
2020-01-07 19:00:00,127.0,0.03,26.0,45,5.22,0.0
2020-01-07 20:00:00,8.0,0.01,22.8,55,4.6,0.0
2020-01-07 21:00:00,0.0,0.01,21.1,61,3.23,0.0
2020-01-07 22:00:00,0.0,0.0,20.0,65,2.08,0.0
2020-01-07 23:00:00,0.0,0.0,19.2,69,0.92,0.0
2020-01-08 00:00:00,0.0,0.0,18.2,74,1.25,0.0
2020-01-08 01:00:00,0.0,0.0,17.3,78,1.44,0.0
2020-01-08 02:00:00,0.0,0.04,16.7,80,2.02,0.0
2020-01-08 03:00:00,0.0,0.11,16.1,81,1.72,0.0
2020-01-08 04:00:00,0.0,0.05,15.7,84,1.66,0.0
2020-01-08 05:00:00,0.0,0.08,15.3,88,1.53,0.0
2020-01-08 06:00:00,35.0,0.06,15.7,88,1.91,0.0
2020-01-08 07:00:00,202.0,0.16,18.2,81,2.6,0.0
2020-01-08 08:00:00,400.0,0.3,20.0,65,3.5,0.0
2020-01-08 09:00:00,578.0,0.08,21.7,53,3.88,0.0
2020-01-08 10:00:00,828.0,0.01,23.7,44,4.27,0.0
2020-01-08 11:00:00,956.0,0.0,25.3,39,4.53,0.0
2020-01-08 12:00:00,1063.0,0.0,26.6,35,4.57,0.0
2020-01-08 13:00:00,1091.0,0.0,27.6,32,4.7,0.0
2020-01-08 14:00:00,1020.0,0.07,27.9,30,4.8,0.0
2020-01-08 15:00:00,930.0,0.09,28.0,29,5.08,0.0
2020-01-08 16:00:00,767.0,0.1,27.2,30,5.31,0.0
2020-01-08 17:00:00,569.0,0.08,25.7,34,5.46,0.0
2020-01-08 18:00:00,340.0,0.11,23.8,39,5.66,0.0
2020-01-08 19:00:00,130.0,0.21,21.7,44,5.48,0.0
2020-01-08 20:00:00,7.0,0.25,20.0,51,4.83,0.0
2020-01-08 21:00:00,0.0,0.22,18.7,60,4.58,0.0
2020-01-08 22:00:00,0.0,0.2,17.7,70,4.25,0.0
2020-01-08 23:00:00,0.0,0.26,16.9,77,3.45,0.0
2020-01-09 00:00:00,0.0,0.2,16.4,81,2.73,0.0
2020-01-09 01:00:00,0.0,0.29,15.9,82,2.42,0.0
2020-01-09 02:00:00,0.0,0.31,15.7,81,2.22,0.0
2020-01-09 03:00:00,0.0,0.28,15.1,79,2.27,0.0
2020-01-09 04:00:00,0.0,0.23,14.8,77,1.98,0.0
2020-01-09 05:00:00,0.0,0.32,14.5,76,1.78,0.0
2020-01-09 06:00:00,32.0,0.7,14.6,75,2.33,0.0
2020-01-09 07:00:00,179.0,0.64,16.5,65,3.56,0.0
2020-01-09 08:00:00,348.0,0.86,18.0,56,4.56,0.0
2020-01-09 09:00:00,347.0,0.88,18.7,51,4.74,0.0
2020-01-09 10:00:00,432.0,0.82,19.5,47,5.16,0.0
2020-01-09 11:00:00,670.0,0.72,20.8,42,5.37,0.0
2020-01-09 12:00:00,852.0,0.77,22.1,38,5.41,0.0
2020-01-09 13:00:00,918.0,0.54,22.9,35,5.55,0.0
2020-01-09 14:00:00,976.0,0.47,23.3,34,5.82,0.0
2020-01-09 15:00:00,797.0,0.34,22.8,37,6.15,0.0
2020-01-09 16:00:00,699.0,0.32,22.1,39,6.48,0.0
2020-01-09 17:00:00,484.0,0.41,20.7,43,6.41,0.0
2020-01-09 18:00:00,298.0,0.41,19.1,47,6.03,0.0
2020-01-09 19:00:00,120.0,0.49,17.5,52,5.6,0.0
2020-01-09 20:00:00,7.0,0.4,16.3,56,4.98,0.0
2020-01-09 21:00:00,0.0,0.14,15.4,58,4.59,0.0
2020-01-09 22:00:00,0.0,0.22,14.9,61,4.4,0.0
2020-01-09 23:00:00,0.0,0.22,14.5,63,4.11,0.0
2020-01-10 00:00:00,0.0,0.11,14.2,65,3.89,0.0
2020-01-10 01:00:00,0.0,0.08,13.9,66,3.64,0.0
2020-01-10 02:00:00,0.0,0.09,13.6,68,3.38,0.0
2020-01-10 03:00:00,0.0,0.02,12.8,72,3.12,0.0
2020-01-10 04:00:00,0.0,0.01,12.4,75,2.97,0.0
2020-01-10 05:00:00,0.0,0.08,12.2,77,2.77,0.0
2020-01-10 06:00:00,33.0,0.05,12.5,78,3.12,0.0
2020-01-10 07:00:00,200.0,0.1,14.6,69,4.12,0.0
2020-01-10 08:00:00,376.0,0.46,16.5,57,5.23,0.0
2020-01-10 09:00:00,552.0,0.18,18.2,49,5.01,0.0
2020-01-10 10:00:00,759.0,0.07,20.0,42,4.92,0.0
2020-01-10 11:00:00,977.0,0.0,22.1,37,5.08,0.0
2020-01-10 12:00:00,1071.0,0.0,23.9,32,5.25,0.0
2020-01-10 13:00:00,1108.0,0.0,25.4,28,5.51,0.0
2020-01-10 14:00:00,1059.0,0.0,26.5,26,5.68,0.0
